order,Dx,Dp,DxDp
0,0.7071067811865483,0.7071067796990583,0.49999999894818686
1,1.2247448713915887,1.2247448710189657,1.499999999543631
2,1.5811388300841895,1.5811388282180328,2.4999999970493465
3,1.8708286933869707,1.8708286880893845,3.499999990089124
4,2.1213203435596424,2.1213203376391427,4.499999987440723
5,2.345207879911715,2.345207872688048,5.499999983058999
6,2.5495097567963927,2.5495097437877368,6.499999966834306
7,2.738612787525834,2.738612774744414,7.499999964996658
8,2.915475947422669,2.915475933768039,8.499999960190365
9,3.0822070014845906,3.0822069813612556,9.499999937976346
10,3.2403703492043427,3.240370327321197,10.499999929093176
